idgenome distances_parent1 distances_parent2 distances_parents
100 0.12 1.53 1.58
101 0.46 1.84 1.73
102 0.49 0.34 0.59
103 0.08 0.39 0.37
104 1.58 1.62 1.2
105 0.68 1.55 1.37
106 1.13 0.95 0.82
107 0.7 1.29 0.9
108 0 0.29 0.29
109 1.14 0.64 0.6
110 0.58 0.29 0.56
111 0.52 0.58 0.26
112 0.34 0.47 0.41
113 0.79 0 0.79
114 1.53 0.02 1.54
115 1.15 0.78 0.88
116 0.12 0.18 0.3
117 0.91 0.37 0.99
118 0.78 1.18 1.18
119 0 1.53 1.53
120 0.51 0.6 0.84
121 1.03 0.86 1.75
122 0.58 1.35 1.36
123 1.52 0 1.52
124 0.92 0.22 0.94
125 0.48 0.81 1.09
126 1.08 0.17 1.09
127 0.52 1.52 1.68
128 0.72 0.82 0.63
129 0.67 1.1 1.3
130 0.5 0.87 0.47
131 0.49 1.08 0.76
132 0.38 0.08 0.35
133 0.73 0.58 1.09
134 0.58 0.05 0.59
135 0.08 0.34 0.33
136 0.87 0.19 0.84
137 0.92 0.41 0.78
138 0 0.97 0.97
139 0.56 0.57 0.49
140 0.47 0.57 0.71
141 0.52 0.52 0
142 0 2.11 2.11
143 0 0.96 0.96
144 0.49 0.58 0.58
145 1.14 0.1 1.13
146 1.21 0 1.21
147 0.97 0.67 1.06
148 1.65 1 1.34
149 1.51 0 1.51
150 0.89 1.2 1.29
151 0.65 0.85 0.65
152 0.62 0.67 0.43
153 1.09 0.43 1.24
154 1.4 0.67 1.48
155 0.61 0.7 0.85
156 0.93 0.49 1.21
157 1.04 1.07 0.93
158 0.94 0.84 1.11
159 0.65 1.02 0.5
160 0.66 0.89 0.7
161 1.29 0.03 1.3
162 0.53 0.44 0.44
163 0.66 0.54 1.05
164 0.92 0 0.92
165 0.88 0.4 0.78
166 0.31 0.67 0.78
167 0.85 0.92 1.37
168 0.76 1.44 0.77
169 0.89 0.79 0.34
170 0.33 0.06 0.34
171 0.69 0.59 1.14
172 0.8 0.22 0.94
173 0.57 1.09 0.58
174 0.66 0.25 0.84
175 0.19 0 0.19
176 1.09 1.28 0.63
177 1.91 0 1.91
178 0.05 0.51 0.52
179 1.12 0.59 1.04
180 0.88 0.6 1.24
181 0.71 1.08 0.64
182 0.61 1.06 0.92
183 0.5 0.29 0.53
184 0.31 0.5 0.62
185 0 0.33 0.33
186 0.45 1.05 1.39
187 1.65 1.19 1.18
188 1.25 0 1.25
189 0.5 1.03 0.74
190 0.3 0.73 0.67
191 0.24 0.76 0.65
192 1.44 0 1.44
193 0.83 0.82 0.99
194 0.97 0.44 0.85
195 0.81 0.66 0.46
196 0.94 1.13 1.02
197 0.7 0.86 1
198 0.23 1.45 1.27
199 0.69 0.69 0.41
200 0.4 0.61 0.58
201 0.63 0.88 0.83
202 0.55 0.52 0.35
203 0.02 0.02 0
204 0.57 0.83 0.38
205 0.77 0.17 0.82
206 1.21 0.49 1.47
207 0.69 0.42 0.52
208 0.94 0 0.94
209 0.8 0.63 1.32
210 0.64 0.37 0.72
211 0.38 0.18 0.33
212 0.22 0.72 0.77
213 0.34 0.71 1.02
214 0.42 0.66 0.62
215 1.29 0.18 1.23
216 0.48 0.33 0.58
217 0.76 0.48 1.02
218 0.82 0 0.82
219 0.32 0.92 1.04
220 0 0.67 0.67
221 0 1.35 1.35
222 1.24 0.51 0.81
223 1.15 0.32 1.24
224 0.6 0.07 0.62
225 0.14 0 0.14
226 0.58 0.31 0.65
227 0.58 0.1 0.58
228 0 0.44 0.44
229 0.64 0.28 0.49
230 0.12 0.87 0.85
231 0.06 0.05 0.11
232 0.88 0.5 1.14
233 1.7 1.69 0.67
234 0.26 0.68 0.49
235 0.86 0.33 0.97
236 1.01 0.5 1.14
237 0.62 0.63 0.18
238 0.09 1.07 1.1
239 0.48 0.88 0.64
240 0 0.67 0.67
241 0.98 0.58 0.91
242 0.81 0.45 0.95
243 0.36 0.23 0.41
244 0.06 1.1 1.07
245 0.63 0.8 0.94
246 0.81 0.54 0.59
247 0.35 0.66 0.4
248 0.78 0.69 0.3
249 0.33 0.29 0.5
250 0.4 0.62 0.52
251 0.06 1.08 1.06
252 0.81 0.82 1.15
253 0.14 0.42 0.33
254 0.92 0.14 0.95
255 1.14 0 1.14
256 0.42 0.73 0.49
257 0.07 0.17 0.18
258 0.04 0.17 0.17
259 0.3 0.84 0.86
260 0.52 0.69 0.71
261 0.79 1.16 1.04
262 0.34 0 0.34
263 0.49 0.41 0.21
264 0.93 0.91 0.23
265 0.18 0 0.18
266 0.27 0 0.27
267 0.23 0.11 0.3
268 0.39 0.51 0.73
269 0.97 0.89 0.2
270 0.52 0.07 0.54
271 0.8 0.84 1.21
272 0.05 1 1
273 0.13 0.39 0.42
274 0.5 0.09 0.53
275 0.25 0.73 0.66
276 0.49 0.22 0.59
277 1.08 1.09 0.28
278 0.22 0.02 0.22
279 0.26 0.83 0.93
280 0.74 0.5 0.7
281 1.52 1.41 0.65
282 0.3 0.72 0.62
283 0.53 0.72 0.52
284 0 0.64 0.64
285 0.97 0.79 0.9
286 0.65 1.19 1.12
287 0.22 0.27 0.23
288 0.67 0.88 1.01
289 0.6 1.37 1.22
290 0.6 0.53 0.62
291 0.65 0.63 0.24
292 0.53 0.59 0.47
293 0.16 0.37 0.33
294 0.56 0.49 0.97
295 0.2 0.98 0.87
296 0.7 0.42 0.76
297 0.67 0.68 1.13
298 0.69 0.98 0.76
299 0.14 0.5 0.49
250 0.46 0.77 0.98
251 0 0.92 0.92
252 0.63 0.27 0.73
253 0.76 0.77 0.21
254 0.53 0.27 0.43
255 0.19 0.23 0.26
256 0.98 0.74 1.3
257 0.85 0.88 0.6
258 0 0.81 0.81
259 0.71 0.5 0.73
260 0.44 0.4 0.17
261 1.04 0.57 0.85
262 0.69 0.78 0.41
263 0.64 0.28 0.65
264 1.46 1.5 1.07
265 0 0.66 0.66
