generation idgenome noveltyfit locofit finalfit balfit novlfit penfit idparent1 idparent2 
1 0 0.159697 0.00267345 0.00267345 0.94576 0 0 N N 
1 1 0.450045 0.00146996 0.00146996 0.935051 0 0 N N 
1 2 0.20025 0.00183922 0.00183922 0.996505 0 0 N N 
1 3 0 0 0 0 0 0 N N 
1 4 0.587199 0 0 0 0 0 N N 
1 5 0.326227 0.00335893 0.00335893 0.996207 0 0 N N 
1 6 0.310437 0 0 0 0 0 N N 
1 7 0 0.000468653 0.000468653 0.981845 0 0 N N 
1 8 0.187523 0 0 0 0 0 N N 
1 9 0 0.000617632 0.000617632 0.970245 0 0 N N 
1 10 0.281563 0.000669739 0.000669739 0.954175 0 0 N N 
1 11 0.05 6.05169e-07 6.05169e-07 0.9999 0 0 N N 
1 12 0.186757 0.000122641 0.000122641 0.996256 0 0 N N 
1 13 0.492124 0.000317971 0.000317971 0.997644 0 0 N N 
1 14 0 0 0 0 0 0 N N 
1 15 0 0.00236248 0.00236248 0.953851 0 0 N N 
1 16 0.362731 0.000187462 0.000187462 0.998022 0 0 N N 
1 17 0.0344819 0.00251282 0.00251282 0.876334 0 0 N N 
1 18 0.181328 0.00161657 0.00161657 0.983409 0 0 N N 
1 19 0.0344819 0.000621019 0.000621019 0.982392 0 0 N N 
1 20 0.498783 0 0 0 0 0 N N 
1 21 0.251376 0.0046369 0.0046369 0.967645 0 0 N N 
1 22 0.187523 0.00776134 0.00776134 0.946029 0 0 N N 
1 23 0 0 0 0 0 0 N N 
1 24 0.240554 0 0 0 0 0 N N 
1 25 0.966278 1.74958e-08 1.74958e-08 0.999999 0 0 N N 
1 26 0.0879116 0.00157484 0.00157484 0.982559 0 0 N N 
1 27 0.186757 0.000694005 0.000694005 0.989361 0 0 N N 
1 28 0.0879116 0 0 0 0 0 N N 
1 29 0.472523 0 0 0 0 0 N N 
1 30 0.213565 0.00215263 0.00215263 0.941214 0 0 N N 
1 31 0.309243 0.000441513 0.000441513 0.995325 0 0 N N 
1 32 0.05 0.000237021 0.000237021 0.974751 0 0 N N 
1 33 0.329473 2.75463e-05 2.75463e-05 0.998184 0 0 N N 
1 34 0.158066 0.00115986 0.00115986 0.97339 0 0 N N 
1 35 0.2 6.46278e-05 6.46278e-05 0.998615 0 0 N N 
1 36 0.176708 0.00429083 0.00429083 0.973686 0 0 N N 
1 37 0.205402 0.00972161 0.00972161 0.554759 0 0 N N 
1 38 0.426988 0.000305058 0.000305058 0.979575 0 0 N N 
1 39 0 0.000349501 0.000349501 0.970225 0 0 N N 
1 40 0.202114 0.0155787 0.0155787 0.710995 0 0 N N 
1 41 0.249868 0 0 0 0 0 N N 
1 42 0.298057 0 0 0 0 0 N N 
1 43 0.05 0 0 0 0 0 N N 
1 44 0 0.000810034 0.000810034 0.993454 0 0 N N 
1 45 0.347933 0 0 0 0 0 N N 
1 46 0.385842 0.000199874 0.000199874 0.981927 0 0 N N 
1 47 0.281563 0 0 0 0 0 N N 
1 48 0.274078 0.000581599 0.000581599 0.987466 0 0 N N 
1 49 0 0 0 0 0 0 N N 
1 50 0.20221 0 0 0 0 0 N N 
1 51 0 0 0 0 0 0 N N 
1 52 0.37409 5.31529e-07 5.31529e-07 0.999876 0 0 N N 
1 53 0.0344819 0.000782119 0.000782119 0.992912 0 0 N N 
1 54 0.0344819 0.00378818 0.00378818 0.970925 0 0 N N 
1 55 0.298719 0.00292614 0.00292614 0.995938 0 0 N N 
1 56 0.140748 0.000316486 0.000316486 0.966536 0 0 N N 
1 57 0.186757 0.000282473 0.000282473 0.976595 0 0 N N 
1 58 0 0.00106533 0.00106533 0.980937 0 0 N N 
1 59 0.257747 1.34477e-05 1.34477e-05 0.999935 0 0 N N 
1 60 0 6.29522e-06 6.29522e-06 0.998456 0 0 N N 
1 61 0 6.27095e-08 6.27095e-08 0.999997 0 0 N N 
1 62 0 0.00530946 0.00530946 0.70572 0 0 N N 
1 63 0 8.75215e-05 8.75215e-05 0.994083 0 0 N N 
1 64 0.056356 0.00931874 0.00931874 0.988694 0 0 N N 
1 65 0 0.00100913 0.00100913 0.965776 0 0 N N 
1 66 0.270117 0.00747053 0.00747053 0.886679 0 0 N N 
1 67 0.240554 0 0 0 0 0 N N 
1 68 0.492124 0 0 0 0 0 N N 
1 69 0 0.012282 0.012282 0.745934 0 0 N N 
1 70 0.260472 0 0 0 0 0 N N 
1 71 0.309243 0.0011164 0.0011164 0.993124 0 0 N N 
1 72 0 0.000770413 0.000770413 0.980983 0 0 N N 
1 73 0.05 1.52101e-06 1.52101e-06 0.999758 0 0 N N 
1 74 0.299278 0.000831985 0.000831985 0.948817 0 0 N N 
1 75 0 0.00127762 0.00127762 0.97202 0 0 N N 
1 76 0.2 5.03097e-05 5.03097e-05 0.998246 0 0 N N 
1 77 0.579169 0 0 0 0 0 N N 
1 78 0.186757 3.07611e-07 3.07611e-07 0.99983 0 0 N N 
1 79 0.213565 0.00442063 0.00442063 0.993695 0 0 N N 
1 80 0.233723 0.00303979 0.00303979 0.84329 0 0 N N 
1 81 0 0.00081512 0.00081512 0.984244 0 0 N N 
1 82 0.204644 0.000136676 0.000136676 0.99558 0 0 N N 
1 83 0.2 3.65097e-07 3.65097e-07 0.999962 0 0 N N 
1 84 0.202114 9.16225e-05 9.16225e-05 0.994188 0 0 N N 
1 85 0 3.66365e-05 3.66365e-05 0.994358 0 0 N N 
1 86 0.678937 0.000128841 0.000128841 0.998848 0 0 N N 
1 87 0 0 0 0 0 0 N N 
1 88 0 0.00054629 0.00054629 0.991147 0 0 N N 
1 89 0.408588 0 0 0 0 0 N N 
1 90 0.30135 0.00234744 0.00234744 0.938404 0 0 N N 
1 91 0.257747 0.000177052 0.000177052 0.993853 0 0 N N 
1 92 0.354062 0.000163321 0.000163321 0.948861 0 0 N N 
1 93 0.296736 0.00175094 0.00175094 0.892893 0 0 N N 
1 94 0.132718 0.00016785 0.00016785 0.988264 0 0 N N 
1 95 0.25 0 0 0 0 0 N N 
1 96 0.181328 0.000396437 0.000396437 0.983379 0 0 N N 
1 97 0.208874 0.00282306 0.00282306 0.986513 0 0 N N 
1 98 0.342433 0.00270633 0.00270633 0.972829 0 0 N N 
