generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
1 0 0 0.2 1 0.583 0.8 0.333 0.125 0 0.07
1 1 0 0.125 1 0.444 0.4 0.333 0.277778 0.4 0.12
1 2 0 0.4 0.6 0.7 0.4 0.4 0 0 0.07
1 3 0 0 0 1 0 1 1 0 0.01
1 4 0 0.5 1 1 0 0.333 0.25 0 0.03
1 5 0 0.357 0.556 0.625 0.333 0.125 0 0 0.2
1 6 0 0.154 0.941 0.594 0.706 0.5 0.1 0.267 0.19
1 7 0 0.333 1 1 1 0.25 0.333333 0 0.04
1 8 0 0.1 1 0.583 0.583 0.667 0.153846 0 0.14
1 9 0 0.333 1 1 1 0.25 0 0 0.04
1 10 0 0.25 0.778 0.314 0.667 0.714 0 0.333 0.11
1 11 0 0.5 1 0.75 0 1 0.2 0 0.03
1 12 0 0.5 1 1 1 0.333 0 0 0.03
1 13 0 0.667 0.5 1 0 1 0.285714 0 0.04
1 14 0 0 0 1 0 1 0.5 0 0.01
1 15 0 0.167 1 1 1 0.111 0.333333 0 0.09
1 16 0 0.333 0.857 0.563 0.286 0.25 0.384615 0 0.09
1 17 0 0.25 1 1 1 0.167 0 0 0.06
1 18 0 0.429 0.625 0.476 0.625 0.429 0.166667 0 0.1
1 19 0 0.25 1 1 1 0.2 0.333333 0 0.05
1 20 0 0.4 0.6 0.438 0 1 0.2 0 0.07
1 21 0 0.273 0.714 0.485 0.571 0.273 0.166667 0 0.16
1 22 0 0.125 1 0.55 0.556 0.8 0.272727 0 0.11
1 23 0 1 0 1 0 0.5 0.166667 0 0.02
1 24 0 0.143 1 0.667 0.625 0.6 0.222222 0.75 0.1
1 25 0 1 0 0.75 0 1 1 0 0.03
1 26 0 0.125 1 0.367 0.667 0.833 0 0.222 0.11
1 27 0 0.5 0.5 0.6 0.5 0.4 0 0 0.06
1 28 0 0.125 1 0.367 0.667 0.833 0.0833333 0.25 0.11
1 29 0 0.5 0.667 0.833 0 0.667 0.333333 0.667 0.05
1 30 0 0.143 1 0.417 0.5 0.375 0 0 0.1
1 31 0 0.5 0.571 0.45 0.429 0.8 0.4 0 0.09
1 32 0 0.25 1 0.625 0.667 0.5 0.2 0 0.05
1 33 0 0.5 0.75 0.6 0.75 0.4 0.4 0 0.06
1 34 0 0.143 1 0.556 0.75 0.5 0 0 0.1
1 35 0 1 0 1 0 0.333 0.2 1 0.03
1 36 0 0.125 1 1 0.9 0.083 0.2 0 0.12
1 37 0 0.071 1 1 1 0.05 0 0 0.2
1 38 0 0.5 0.429 0.36 0.143 1 0 0.4 0.09
1 39 0 0.333 1 1 1 0.25 0.333333 0 0.04
1 40 0 0.111 1 1 1 0.077 0.666667 0 0.13
1 41 0 0.25 1 0.833 0.333 0.667 0 0 0.05
