generation genome measures value
2 44 branching 0
2 44 connectivity1 0.333
2 44 connectivity2 1
2 44 coverage 1
2 44 effective_joints 1
2 44 length_ratio 0.25
2 44 sensors 0
2 44 symmetry 0
2 44 total_components 0.04
2 98 branching 0
2 98 connectivity1 0.2
2 98 connectivity2 1
2 98 coverage 1
2 98 effective_joints 1
2 98 length_ratio 0.143
2 98 sensors 1
2 98 symmetry 0
2 98 total_components 0.07
2 36 branching 0
2 36 connectivity1 0.125
2 36 connectivity2 1
2 36 coverage 1
2 36 effective_joints 0.9
2 36 length_ratio 0.083
2 36 sensors 0.2
2 36 symmetry 0
2 36 total_components 0.12
2 127 branching 0
2 127 connectivity1 0.2
2 127 connectivity2 1
2 127 coverage 0.583
2 127 effective_joints 0.8
2 127 length_ratio 0.333
2 127 sensors 0.25
2 127 symmetry 0
2 127 total_components 0.07
2 112 branching 0
2 112 connectivity1 0.125
2 112 connectivity2 1
2 112 coverage 0.44
2 112 effective_joints 0.333
2 112 length_ratio 1
2 112 sensors 0.166667
2 112 symmetry 0
2 112 total_components 0.11
2 17 branching 0
2 17 connectivity1 0.25
2 17 connectivity2 1
2 17 coverage 1
2 17 effective_joints 1
2 17 length_ratio 0.167
2 17 sensors 0
2 17 symmetry 0
2 17 total_components 0.06
2 90 branching 0
2 90 connectivity1 0.222
2 90 connectivity2 0.818
2 90 coverage 0.265
2 90 effective_joints 0.636
2 90 length_ratio 1
2 90 sensors 0.125
2 90 symmetry 0.333
2 90 total_components 0.13
2 5 branching 0
2 5 connectivity1 0.357
2 5 connectivity2 0.556
2 5 coverage 0.625
2 5 effective_joints 0.333
2 5 length_ratio 0.125
2 5 sensors 0
2 5 symmetry 0
2 5 total_components 0.2
2 62 branching 0
2 62 connectivity1 0.167
2 62 connectivity2 1
2 62 coverage 1
2 62 effective_joints 1
2 62 length_ratio 0.111
2 62 sensors 0.333333
2 62 symmetry 0
2 62 total_components 0.09
2 32 branching 0
2 32 connectivity1 0.25
2 32 connectivity2 1
2 32 coverage 0.625
2 32 effective_joints 0.667
2 32 length_ratio 0.5
2 32 sensors 0.2
2 32 symmetry 0
2 32 total_components 0.05
2 10 branching 0
2 10 connectivity1 0.25
2 10 connectivity2 0.778
2 10 coverage 0.314
2 10 effective_joints 0.667
2 10 length_ratio 0.714
2 10 sensors 0
2 10 symmetry 0.333
2 10 total_components 0.11
2 141 branching 0
2 141 connectivity1 0.125
2 141 connectivity2 1
2 141 coverage 1
2 141 effective_joints 1
2 141 length_ratio 0.083
2 141 sensors 0
2 141 symmetry 0
2 141 total_components 0.12
2 30 branching 0
2 30 connectivity1 0.143
2 30 connectivity2 1
2 30 coverage 0.417
2 30 effective_joints 0.5
2 30 length_ratio 0.375
2 30 sensors 0
2 30 symmetry 0
2 30 total_components 0.1
2 84 branching 0
2 84 connectivity1 0.25
2 84 connectivity2 1
2 84 coverage 1
2 84 effective_joints 1
2 84 length_ratio 0.2
2 84 sensors 0.666667
2 84 symmetry 0
2 84 total_components 0.05
2 2 branching 0
2 2 connectivity1 0.4
2 2 connectivity2 0.6
2 2 coverage 0.7
2 2 effective_joints 0.4
2 2 length_ratio 0.4
2 2 sensors 0
2 2 symmetry 0
2 2 total_components 0.07
2 19 branching 0
2 19 connectivity1 0.25
2 19 connectivity2 1
2 19 coverage 1
2 19 effective_joints 1
2 19 length_ratio 0.2
2 19 sensors 0.333333
2 19 symmetry 0
2 19 total_components 0.05
2 105 branching 0
2 105 connectivity1 0.5
2 105 connectivity2 0.75
2 105 coverage 0.5
2 105 effective_joints 0.25
2 105 length_ratio 0.75
2 105 sensors 0.333333
2 105 symmetry 0
2 105 total_components 0.06
2 34 branching 0
2 34 connectivity1 0.143
2 34 connectivity2 1
2 34 coverage 0.556
2 34 effective_joints 0.75
2 34 length_ratio 0.5
2 34 sensors 0
2 34 symmetry 0
2 34 total_components 0.1
2 45 branching 0
2 45 connectivity1 0.1
2 45 connectivity2 1
2 45 coverage 0.833
2 45 effective_joints 0.692
2 45 length_ratio 0.5
2 45 sensors 0
2 45 symmetry 0.909
2 45 total_components 0.15
2 61 branching 0
2 61 connectivity1 0.333
2 61 connectivity2 1
2 61 coverage 0.667
2 61 effective_joints 0.5
2 61 length_ratio 0.667
2 61 sensors 0
2 61 symmetry 0
2 61 total_components 0.04
2 76 branching 0
2 76 connectivity1 1
2 76 connectivity2 0
2 76 coverage 1
2 76 effective_joints 0
2 76 length_ratio 0.333
2 76 sensors 0.4
2 76 symmetry 1
2 76 total_components 0.03
2 140 branching 0
2 140 connectivity1 0.2
2 140 connectivity2 1
2 140 coverage 0.583
2 140 effective_joints 0.6
2 140 length_ratio 0.75
2 140 sensors 0.428571
2 140 symmetry 0
2 140 total_components 0.07
2 72 branching 0
2 72 connectivity1 0.25
2 72 connectivity2 1
2 72 coverage 0.6
2 72 effective_joints 0.5
2 72 length_ratio 0.4
2 72 sensors 0.142857
2 72 symmetry 0
2 72 total_components 0.06
2 27 branching 0
2 27 connectivity1 0.5
2 27 connectivity2 0.5
2 27 coverage 0.6
2 27 effective_joints 0.5
2 27 length_ratio 0.4
2 27 sensors 0
2 27 symmetry 0
2 27 total_components 0.06
2 145 branching 0
2 145 connectivity1 0.167
2 145 connectivity2 1
2 145 coverage 1
2 145 effective_joints 1
2 145 length_ratio 0.125
2 145 sensors 0.333333
2 145 symmetry 0
2 145 total_components 0.08
2 49 branching 0
2 49 connectivity1 1
2 49 connectivity2 0
2 49 coverage 1
2 49 effective_joints 0
2 49 length_ratio 0.5
2 49 sensors 0.166667
2 49 symmetry 0
2 49 total_components 0.02
2 18 branching 0
2 18 connectivity1 0.429
2 18 connectivity2 0.625
2 18 coverage 0.476
2 18 effective_joints 0.625
2 18 length_ratio 0.429
2 18 sensors 0.166667
2 18 symmetry 0
2 18 total_components 0.1
2 110 branching 0
2 110 connectivity1 0.2
2 110 connectivity2 1
2 110 coverage 0.467
2 110 effective_joints 0.6
2 110 length_ratio 0.6
2 110 sensors 0
2 110 symmetry 0
2 110 total_components 0.07
2 114 branching 0
2 114 connectivity1 0.059
2 114 connectivity2 1
2 114 coverage 1
2 114 effective_joints 0.696
2 114 length_ratio 0.04
2 114 sensors 0
2 114 symmetry 0
2 114 total_components 0.25
2 146 branching 0
2 146 connectivity1 0.25
2 146 connectivity2 1
2 146 coverage 0.667
2 146 effective_joints 0.5
2 146 length_ratio 1
2 146 sensors 0.285714
2 146 symmetry 0
2 146 total_components 0.06
2 143 branching 0
2 143 connectivity1 0.333
2 143 connectivity2 1
2 143 coverage 1
2 143 effective_joints 1
2 143 length_ratio 0.25
2 143 sensors 0.333333
2 143 symmetry 0
2 143 total_components 0.04
2 53 branching 0
2 53 connectivity1 0.25
2 53 connectivity2 1
2 53 coverage 1
2 53 effective_joints 1
2 53 length_ratio 0.2
2 53 sensors 0
2 53 symmetry 0
2 53 total_components 0.05
2 121 branching 0
2 121 connectivity1 0.667
2 121 connectivity2 0.5
2 121 coverage 1
2 121 effective_joints 0.5
2 121 length_ratio 0.25
2 121 sensors 0.125
2 121 symmetry 0.667
2 121 total_components 0.04
2 117 branching 0
2 117 connectivity1 0.25
2 117 connectivity2 1
2 117 coverage 0.5
2 117 effective_joints 0.5
2 117 length_ratio 0.75
2 117 sensors 0.142857
2 117 symmetry 0
2 117 total_components 0.06
2 123 branching 0
2 123 connectivity1 0.2
2 123 connectivity2 1
2 123 coverage 1
2 123 effective_joints 1
2 123 length_ratio 0.143
2 123 sensors 1
2 123 symmetry 0
2 123 total_components 0.07
2 79 branching 0
2 79 connectivity1 0.1
2 79 connectivity2 1
2 79 coverage 0.333
2 79 effective_joints 0.538
2 79 length_ratio 0.556
2 79 sensors 0
2 79 symmetry 0
2 79 total_components 0.15
2 37 branching 0
2 37 connectivity1 0.071
2 37 connectivity2 1
2 37 coverage 1
2 37 effective_joints 1
2 37 length_ratio 0.05
2 37 sensors 0
2 37 symmetry 0
2 37 total_components 0.2
2 1 branching 0
2 1 connectivity1 0.125
2 1 connectivity2 1
2 1 coverage 0.444
2 1 effective_joints 0.4
2 1 length_ratio 0.333
2 1 sensors 0.277778
2 1 symmetry 0.4
2 1 total_components 0.12
2 106 branching 0
2 106 connectivity1 0.083
2 106 connectivity2 1
2 106 coverage 1
2 106 effective_joints 1
2 106 length_ratio 0.059
2 106 sensors 0
2 106 symmetry 0
2 106 total_components 0.17
2 149 branching 0
2 149 connectivity1 0.667
2 149 connectivity2 0.5
2 149 coverage 1
2 149 effective_joints 0
2 149 length_ratio 1
2 149 sensors 0.285714
2 149 symmetry 0
2 149 total_components 0.04
2 35 branching 0
2 35 connectivity1 1
2 35 connectivity2 0
2 35 coverage 1
2 35 effective_joints 0
2 35 length_ratio 0.333
2 35 sensors 0.2
2 35 symmetry 1
2 35 total_components 0.03
2 59 branching 0
2 59 connectivity1 0.5
2 59 connectivity2 0.75
2 59 coverage 0.5
2 59 effective_joints 0.5
2 59 length_ratio 0.75
2 59 sensors 0
2 59 symmetry 0.4
2 59 total_components 0.06
2 13 branching 0
2 13 connectivity1 0.667
2 13 connectivity2 0.5
2 13 coverage 1
2 13 effective_joints 0
2 13 length_ratio 1
2 13 sensors 0.285714
2 13 symmetry 0
2 13 total_components 0.04
2 75 branching 0
2 75 connectivity1 0.286
2 75 connectivity2 0.875
2 75 coverage 0.556
2 75 effective_joints 0.875
2 75 length_ratio 0.222
2 75 sensors 0
2 75 symmetry 0
2 75 total_components 0.1
2 56 branching 0
2 56 connectivity1 0.167
2 56 connectivity2 1
2 56 coverage 0.667
2 56 effective_joints 0.5
2 56 length_ratio 0.333
2 56 sensors 0.0833333
2 56 symmetry 0
2 56 total_components 0.08
2 73 branching 0
2 73 connectivity1 0.25
2 73 connectivity2 1
2 73 coverage 0.625
2 73 effective_joints 0.667
2 73 length_ratio 0.5
2 73 sensors 0.25
2 73 symmetry 0
2 73 total_components 0.05
2 100 branching 0
2 100 connectivity1 0.333
2 100 connectivity2 1
2 100 coverage 1
2 100 effective_joints 1
2 100 length_ratio 0.25
2 100 sensors 0.333333
2 100 symmetry 0
2 100 total_components 0.04
2 65 branching 0
2 65 connectivity1 0.286
2 65 connectivity2 0.875
2 65 coverage 0.556
2 65 effective_joints 0.875
2 65 length_ratio 0.222
2 65 sensors 0
2 65 symmetry 0
2 65 total_components 0.1
2 55 branching 0
2 55 connectivity1 0.056
2 55 connectivity2 1
2 55 coverage 1
2 55 effective_joints 0.708
2 55 length_ratio 0.038
2 55 sensors 0
2 55 symmetry 0
2 55 total_components 0.26
2 104 branching 0
2 104 connectivity1 1
2 104 connectivity2 0
2 104 coverage 1
2 104 effective_joints 0
2 104 length_ratio 0.5
2 104 sensors 0.333333
2 104 symmetry 0
2 104 total_components 0.02
2 74 branching 0
2 74 connectivity1 0.4
2 74 connectivity2 0.6
2 74 coverage 0.467
2 74 effective_joints 0.6
2 74 length_ratio 0.6
2 74 sensors 0.2
2 74 symmetry 0.5
2 74 total_components 0.07
2 51 branching 0
2 51 connectivity1 0
2 51 connectivity2 0
2 51 coverage 1
2 51 effective_joints 0
2 51 length_ratio 1
2 51 sensors 0.5
2 51 symmetry 0
2 51 total_components 0.01
2 115 branching 0
2 115 connectivity1 0.077
2 115 connectivity2 1
2 115 coverage 0.264
2 115 effective_joints 0.882
2 115 length_ratio 0.889
2 115 sensors 0.2
2 115 symmetry 0.353
2 115 total_components 0.19
2 15 branching 0
2 15 connectivity1 0.167
2 15 connectivity2 1
2 15 coverage 1
2 15 effective_joints 1
2 15 length_ratio 0.111
2 15 sensors 0.333333
2 15 symmetry 0
2 15 total_components 0.09
2 86 branching 0
2 86 connectivity1 0.5
2 86 connectivity2 0.667
2 86 coverage 1
2 86 effective_joints 0.667
2 86 length_ratio 0.2
2 86 sensors 0
2 86 symmetry 0.5
2 86 total_components 0.05
2 102 branching 0
2 102 connectivity1 0.2
2 102 connectivity2 1
2 102 coverage 1
2 102 effective_joints 1
2 102 length_ratio 0.143
2 102 sensors 0
2 102 symmetry 0
2 102 total_components 0.07
2 12 branching 0
2 12 connectivity1 0.5
2 12 connectivity2 1
2 12 coverage 1
2 12 effective_joints 1
2 12 length_ratio 0.333
2 12 sensors 0
2 12 symmetry 0
2 12 total_components 0.03
2 58 branching 0
2 58 connectivity1 0.25
2 58 connectivity2 1
2 58 coverage 0.6
2 58 effective_joints 0.5
2 58 length_ratio 0.4
2 58 sensors 0.142857
2 58 symmetry 0
2 58 total_components 0.06
2 124 branching 0
